report_date,postcode,location_name,annual_consumption_in_kWh,market,ranking,currency,gross_price_per_month
2024-01-22,10115,Berlin,2500.0,Bonus,1,EUR,56.93333333333334
2024-01-22,10115,Berlin,2500.0,Bonus,12,EUR,60.26666666666667
2024-01-22,81539,München,2500.0,Bonus,12,EUR,59.416666666666664
2024-01-22,81539,München,2500.0,Bonus,36,EUR,67.91166666666668
2024-01-22,10115,Berlin,4000.0,Bonus,8,EUR,95.44583333333333
2024-01-22,10115,Berlin,4000.0,Bonus,49,EUR,107.86666666666667
2024-01-22,10115,Berlin,3000.0,Bonus,26,EUR,75.79166666666667
2024-01-22,81539,München,3000.0,Bonus,16,EUR,71.23416666666667
2024-01-22,10115,Berlin,4250.0,Bonus,22,EUR,105.69583333333333
2024-01-22,10115,Berlin,4250.0,Bonus,24,EUR,106.15416666666665
2024-01-22,81539,München,4250.0,Bonus,43,EUR,110.90833333333335
2024-01-22,81539,München,5000.0,Bonus,33,EUR,126.08333333333333
2024-01-22,81539,München,5000.0,Bonus,42,EUR,129.15083333333334
2024-01-22,81539,München,5000.0,Bonus,45,EUR,130.68083333333334
2024-01-22,10115,Berlin,4500.0,Bonus,40,EUR,117.13666666666667
2024-01-22,81539,München,4500.0,Bonus,38,EUR,114.5825
2024-01-22,81539,München,4500.0,Bonus,41,EUR,116.73333333333333
2024-01-22,10115,Berlin,3500.0,Bonus,8,EUR,81.755
2024-01-22,10115,Berlin,3500.0,Bonus,31,EUR,89.63666666666667
2024-01-22,10115,Berlin,3500.0,Bonus,38,EUR,91.50083333333333
2024-01-22,81539,München,3500.0,Bonus,31,EUR,88.54416666666667
2024-01-22,10115,Berlin,1000.0,Bonus,36,EUR,34.348333333333336
2024-01-22,81539,München,1000.0,Bonus,3,EUR,29.4825
2024-01-22,81539,München,1000.0,Bonus,19,EUR,31.499166666666667
2024-01-22,81539,München,1000.0,Bonus,27,EUR,33.1675
2024-01-22,81539,München,1000.0,Bonus,29,EUR,33.439166666666665
2024-01-22,10115,Berlin,3000.0,Non-Bonus,29,EUR,85.9775
2024-01-22,81539,München,3000.0,Non-Bonus,6,EUR,79.34083333333334
2024-01-22,81539,München,3000.0,Non-Bonus,11,EUR,79.55666666666666
2024-01-22,81539,München,3000.0,Non-Bonus,22,EUR,82.465
2024-01-22,81539,München,3000.0,Non-Bonus,48,EUR,89.91333333333334
2024-01-22,81539,München,3000.0,Non-Bonus,49,EUR,90.02416666666666
2024-01-22,81539,München,3000.0,Non-Bonus,50,EUR,90.03666666666668
2024-01-22,10115,Berlin,1500.0,Bonus,2,EUR,38.663333333333334
2024-01-22,10115,Berlin,1500.0,Bonus,24,EUR,42.324999999999996
2024-01-22,10115,Berlin,1500.0,Bonus,47,EUR,46.692499999999995
2024-01-22,10115,Berlin,1500.0,Bonus,50,EUR,47.0525
2024-01-22,81539,München,1500.0,Bonus,19,EUR,40.81166666666667
2024-01-22,10115,Berlin,5000.0,Non-Bonus,27,EUR,138.77
2024-01-22,10115,Berlin,5000.0,Non-Bonus,28,EUR,139.71583333333334
2024-01-22,81539,München,5000.0,Non-Bonus,22,EUR,133.00833333333333
2024-01-22,81539,München,5000.0,Non-Bonus,33,EUR,138.23333333333332
2024-01-22,81539,München,5000.0,Non-Bonus,50,EUR,143.165
2024-01-22,10115,Berlin,2000.0,Non-Bonus,6,EUR,57.35833333333333
2024-01-22,10115,Berlin,2000.0,Non-Bonus,29,EUR,60.76499999999999
2024-01-22,10115,Berlin,2000.0,Non-Bonus,50,EUR,64.26
2024-01-22,81539,München,2000.0,Non-Bonus,5,EUR,56.169999999999995
2024-01-22,81539,München,2000.0,Non-Bonus,24,EUR,59.04750000000001
2024-01-22,10115,Berlin,3500.0,Non-Bonus,22,EUR,96.66916666666667
2024-01-22,10115,Berlin,3500.0,Non-Bonus,38,EUR,102.08999999999999
2024-01-22,10115,Berlin,4250.0,Non-Bonus,12,EUR,111.75333333333333
2024-01-22,10115,Berlin,4250.0,Non-Bonus,13,EUR,113.09916666666668
2024-01-22,10115,Berlin,4250.0,Non-Bonus,40,EUR,122.42083333333333
2024-01-22,10115,Berlin,4250.0,Non-Bonus,46,EUR,123.90666666666668
2024-01-22,81539,München,4250.0,Non-Bonus,6,EUR,104.235
2024-01-22,81539,München,4250.0,Non-Bonus,20,EUR,112.11833333333334
2024-01-22,81539,München,4250.0,Non-Bonus,45,EUR,122.06083333333333
2024-01-22,81539,München,4250.0,Non-Bonus,47,EUR,122.935
2024-01-22,10115,Berlin,2500.0,Non-Bonus,46,EUR,76.97083333333333
2024-01-22,81539,München,2500.0,Non-Bonus,11,EUR,68.91666666666667
2024-01-22,81539,München,2500.0,Non-Bonus,12,EUR,68.92083333333333
2024-01-22,81539,München,2500.0,Non-Bonus,31,EUR,73.07833333333333
2024-01-22,81539,München,2500.0,Non-Bonus,50,EUR,77.01583333333333
2024-01-22,10115,Berlin,4000.0,Non-Bonus,33,EUR,113.7
2024-01-22,81539,München,4000.0,Non-Bonus,10,EUR,100.67416666666666
2024-01-22,81539,München,4000.0,Non-Bonus,15,EUR,105.30916666666667
2024-01-22,81539,München,4000.0,Non-Bonus,33,EUR,111.44083333333333
2024-01-22,10115,Berlin,4500.0,Non-Bonus,33,EUR,127.495
2024-01-22,81539,München,4500.0,Non-Bonus,3,EUR,93.745
2024-01-22,81539,München,4500.0,Non-Bonus,13,EUR,116.61416666666666
2024-01-22,81539,München,4500.0,Non-Bonus,36,EUR,125.61416666666666
2024-01-22,81539,München,4500.0,Non-Bonus,43,EUR,129.07333333333335
2024-01-22,10115,Berlin,500.0,Non-Bonus,10,EUR,21.930000000000003
2024-01-22,10115,Berlin,500.0,Non-Bonus,47,EUR,25.139166666666668
2024-01-22,81539,München,500.0,Non-Bonus,11,EUR,22.299166666666665
2024-01-22,10115,Berlin,500.0,Bonus,39,EUR,23.3125
2024-01-22,10115,Berlin,500.0,Bonus,47,EUR,24.3275
2024-01-22,81539,München,500.0,Bonus,14,EUR,20.474999999999998
2024-01-22,81539,München,500.0,Bonus,16,EUR,21.162499999999998
2024-01-22,10115,Berlin,1500.0,Non-Bonus,2,EUR,40.266666666666666
2024-01-22,10115,Berlin,1500.0,Non-Bonus,37,EUR,49.98
2024-01-22,81539,München,1500.0,Non-Bonus,13,EUR,45.6875
2024-01-22,10115,Berlin,1000.0,Non-Bonus,8,EUR,33.759166666666665
2024-01-22,81539,München,1000.0,Non-Bonus,25,EUR,35.45666666666667
2024-01-22,81539,München,1000.0,Non-Bonus,42,EUR,37.19916666666666
2024-01-22,10115,Berlin,2500.0,Bonus,14,EUR,60.2825
2024-01-22,81539,München,2500.0,Bonus,29,EUR,63.770833333333336
2024-01-22,81539,München,2500.0,Bonus,37,EUR,67.97416666666668
2024-01-22,81539,München,2500.0,Bonus,49,EUR,69.98
2024-01-22,10115,Berlin,4000.0,Bonus,7,EUR,93.82249999999999
2024-01-22,10115,Berlin,3000.0,Bonus,44,EUR,81.72500000000001
2024-01-22,81539,München,3000.0,Bonus,46,EUR,80.9675
2024-01-22,81539,München,4250.0,Bonus,4,EUR,94.73333333333333
2024-01-22,81539,München,4250.0,Bonus,7,EUR,99.585
2024-01-22,81539,München,4250.0,Bonus,44,EUR,111.38916666666667
2024-01-22,10115,Berlin,5000.0,Bonus,12,EUR,122.16666666666667
2024-01-22,10115,Berlin,5000.0,Bonus,44,EUR,131.645
2024-01-22,81539,München,5000.0,Bonus,30,EUR,124.2575
2024-01-22,10115,Berlin,4500.0,Bonus,29,EUR,114.06416666666667
2024-01-22,10115,Berlin,4500.0,Bonus,37,EUR,116.56333333333333
2024-01-22,81539,München,4500.0,Bonus,6,EUR,102.72500000000001
2024-01-22,81539,München,4500.0,Bonus,26,EUR,110.22416666666668
2024-01-22,10115,Berlin,1000.0,Bonus,12,EUR,29.997500000000002
2024-01-22,10115,Berlin,1000.0,Bonus,18,EUR,31.6075
2024-01-22,81539,München,1000.0,Bonus,7,EUR,29.589166666666667
2024-01-22,81539,München,1000.0,Bonus,14,EUR,30.0175
2024-01-22,81539,München,1000.0,Bonus,18,EUR,31.334999999999997
2024-01-22,81539,München,1000.0,Bonus,33,EUR,33.79083333333333
2024-01-22,10115,Berlin,3000.0,Non-Bonus,5,EUR,80.92583333333333
2024-01-22,10115,Berlin,3000.0,Non-Bonus,23,EUR,84.28166666666667
2024-01-22,10115,Berlin,3000.0,Non-Bonus,43,EUR,89.79416666666667
2024-01-22,81539,München,3000.0,Non-Bonus,27,EUR,84.31083333333333
2024-01-22,81539,München,3000.0,Non-Bonus,45,EUR,89.53750000000001
2024-01-22,10115,Berlin,1500.0,Bonus,4,EUR,39.18333333333333
2024-01-22,10115,Berlin,1500.0,Bonus,7,EUR,39.237500000000004
2024-01-22,81539,München,1500.0,Bonus,35,EUR,45.14166666666667
2024-01-22,81539,München,1500.0,Bonus,41,EUR,45.82
2024-01-22,10115,Berlin,5000.0,Non-Bonus,18,EUR,133.615
2024-01-22,81539,München,5000.0,Non-Bonus,17,EUR,130.025
