report_date,postcode,location_name,annual_consumption_in_kWh,market,ranking,currency,gross_price_per_month
2024-01-08,10115,Berlin,2000.0,Non-Bonus,3,EUR,51.70666666666667
2024-01-08,10115,Berlin,2000.0,Non-Bonus,6,EUR,58.85666666666666
2024-01-08,10115,Berlin,2000.0,Non-Bonus,35,EUR,63.76499999999999
2024-01-08,10115,Berlin,2000.0,Non-Bonus,37,EUR,63.88333333333333
2024-01-08,10115,Berlin,2000.0,Non-Bonus,41,EUR,64.26
2024-01-08,10115,Berlin,2000.0,Non-Bonus,7,EUR,59.501666666666665
2024-01-08,10115,Berlin,2000.0,Non-Bonus,12,EUR,60.080000000000005
2024-01-08,10115,Berlin,2000.0,Non-Bonus,23,EUR,62.028333333333336
2024-01-08,10115,Berlin,2000.0,Non-Bonus,11,EUR,60.041666666666664
2024-01-08,10115,Berlin,2000.0,Non-Bonus,27,EUR,63.26833333333334
2024-01-08,10115,Berlin,2000.0,Non-Bonus,18,EUR,61.12916666666666
2024-01-08,10115,Berlin,2000.0,Non-Bonus,25,EUR,62.53666666666667
2024-01-08,10115,Berlin,2000.0,Non-Bonus,15,EUR,60.47416666666667
2024-01-08,10115,Berlin,2000.0,Non-Bonus,42,EUR,64.36
2024-01-08,10115,Berlin,2000.0,Non-Bonus,45,EUR,64.60000000000001
2024-01-08,10115,Berlin,2000.0,Non-Bonus,10,EUR,59.54833333333334
2024-01-08,10115,Berlin,2000.0,Non-Bonus,17,EUR,60.93666666666667
2024-01-08,10115,Berlin,2000.0,Non-Bonus,30,EUR,63.550000000000004
2024-01-08,10115,Berlin,2000.0,Non-Bonus,2,EUR,48.43833333333333
2024-01-08,10115,Berlin,2000.0,Non-Bonus,40,EUR,64.18333333333334
2024-01-08,10115,Berlin,2000.0,Non-Bonus,5,EUR,57.715
2024-01-08,10115,Berlin,2000.0,Non-Bonus,13,EUR,60.306666666666665
2024-01-08,10115,Berlin,2000.0,Non-Bonus,14,EUR,60.317499999999995
2024-01-08,10115,Berlin,2000.0,Non-Bonus,46,EUR,65.02
2024-01-08,10115,Berlin,2000.0,Non-Bonus,8,EUR,59.501666666666665
2024-01-08,10115,Berlin,2000.0,Non-Bonus,22,EUR,62.00833333333333
2024-01-08,10115,Berlin,2000.0,Non-Bonus,48,EUR,65.28416666666666
2024-01-08,10115,Berlin,2000.0,Non-Bonus,9,EUR,59.50666666666667
2024-01-08,10115,Berlin,2000.0,Non-Bonus,32,EUR,63.64333333333334
2024-01-08,10115,Berlin,2000.0,Non-Bonus,39,EUR,64.15166666666667
2024-01-08,10115,Berlin,2000.0,Non-Bonus,49,EUR,65.385
2024-01-08,10115,Berlin,2000.0,Non-Bonus,4,EUR,56.807500000000005
2024-01-08,10115,Berlin,2000.0,Non-Bonus,20,EUR,61.13999999999999
2024-01-08,10115,Berlin,2000.0,Non-Bonus,24,EUR,62.11000000000001
2024-01-08,10115,Berlin,2000.0,Non-Bonus,31,EUR,63.59
2024-01-08,10115,Berlin,2000.0,Non-Bonus,38,EUR,64.09416666666667
2024-01-08,10115,Berlin,2000.0,Non-Bonus,21,EUR,61.208333333333336
2024-01-08,10115,Berlin,2000.0,Non-Bonus,26,EUR,63.07666666666666
2024-01-08,10115,Berlin,2000.0,Non-Bonus,44,EUR,64.38916666666667
2024-01-08,10115,Berlin,2000.0,Non-Bonus,47,EUR,65.18333333333334
2024-01-08,10115,Berlin,2000.0,Non-Bonus,19,EUR,61.13333333333333
2024-01-08,10115,Berlin,2000.0,Non-Bonus,28,EUR,63.34583333333333
2024-01-08,10115,Berlin,2000.0,Non-Bonus,1,EUR,48.336666666666666
2024-01-08,10115,Berlin,2000.0,Non-Bonus,16,EUR,60.65
2024-01-08,10115,Berlin,2000.0,Non-Bonus,33,EUR,63.645833333333336
2024-01-08,10115,Berlin,2000.0,Non-Bonus,29,EUR,63.3725
2024-01-08,10115,Berlin,2000.0,Non-Bonus,34,EUR,63.725
2024-01-08,10115,Berlin,2000.0,Non-Bonus,43,EUR,64.385
2024-01-08,10115,Berlin,2000.0,Non-Bonus,36,EUR,63.76916666666667
2024-01-08,10115,Berlin,2000.0,Non-Bonus,50,EUR,65.39166666666667
