report_date,postcode,location_name,annual_consumption_in_kWh,market,ranking,currency,gross_price_per_month
2024-02-12,10115,Berlin,1500.0,Bonus,11,EUR,38.083333333333336
2024-02-12,81539,München,1500.0,Bonus,23,EUR,39.8675
2024-02-12,81539,München,1500.0,Bonus,28,EUR,40.763333333333335
2024-02-12,10115,Berlin,4000.0,Bonus,16,EUR,93.38333333333333
2024-02-12,81539,München,4000.0,Bonus,7,EUR,85.63333333333333
2024-02-12,81539,München,4000.0,Bonus,36,EUR,98.4925
2024-02-12,10115,Berlin,2500.0,Bonus,24,EUR,59.74583333333334
2024-02-12,81539,München,2500.0,Bonus,9,EUR,55.85583333333333
2024-02-12,81539,München,2500.0,Bonus,46,EUR,67.5575
2024-02-12,10115,Berlin,3500.0,Bonus,10,EUR,77.63333333333334
2024-02-12,10115,Berlin,3500.0,Bonus,15,EUR,79.9725
2024-02-12,10115,Berlin,3500.0,Bonus,50,EUR,92.7975
2024-02-12,10115,Berlin,2000.0,Bonus,4,EUR,47.22333333333333
2024-02-12,10115,Berlin,2000.0,Bonus,36,EUR,52.33916666666667
2024-02-12,81539,München,2000.0,Bonus,43,EUR,55.57
2024-02-12,81539,München,3000.0,Bonus,8,EUR,67.015
2024-02-12,10115,Berlin,4500.0,Bonus,17,EUR,106.2975
2024-02-12,10115,Berlin,4500.0,Bonus,44,EUR,116.01833333333333
2024-02-12,81539,München,4500.0,Bonus,6,EUR,97.02499999999999
2024-02-12,81539,München,4500.0,Bonus,34,EUR,110.22583333333334
2024-02-12,10115,Berlin,5000.0,Bonus,41,EUR,127.91416666666667
2024-02-12,10115,Berlin,5000.0,Bonus,44,EUR,128.9125
2024-02-12,81539,München,5000.0,Bonus,20,EUR,116.09916666666668
2024-02-12,81539,München,5000.0,Bonus,32,EUR,120.81833333333333
2024-02-12,81539,München,5000.0,Bonus,33,EUR,121.89583333333333
2024-02-12,10115,Berlin,4250.0,Bonus,1,EUR,87.765
2024-02-12,10115,Berlin,4250.0,Bonus,36,EUR,107.33083333333333
2024-02-12,81539,München,4250.0,Bonus,8,EUR,92.35666666666667
2024-02-12,81539,München,4250.0,Bonus,40,EUR,106.32083333333333
2024-02-12,10115,Berlin,1500.0,Bonus,40,EUR,43.998333333333335
2024-02-12,81539,München,1500.0,Bonus,20,EUR,39.038333333333334
2024-02-12,81539,München,1500.0,Bonus,37,EUR,43.083333333333336
2024-02-12,10115,Berlin,4000.0,Bonus,27,EUR,97.02166666666666
2024-02-12,10115,Berlin,4000.0,Bonus,43,EUR,102.35916666666667
2024-02-12,81539,München,4000.0,Bonus,24,EUR,94.245
2024-02-12,81539,München,4000.0,Bonus,25,EUR,94.38666666666667
2024-02-12,81539,München,4000.0,Bonus,29,EUR,95.68583333333333
2024-02-12,81539,München,2500.0,Bonus,14,EUR,56.20249999999999
2024-02-12,10115,Berlin,3500.0,Bonus,9,EUR,77.62916666666666
2024-02-12,81539,München,3500.0,Bonus,29,EUR,83.36749999999999
2024-02-12,81539,München,3500.0,Bonus,32,EUR,86.04583333333333
2024-02-12,10115,Berlin,2000.0,Bonus,11,EUR,47.42916666666667
2024-02-12,81539,München,2000.0,Bonus,4,EUR,46.07
2024-02-12,10115,Berlin,3000.0,Bonus,13,EUR,67.815
2024-02-12,10115,Berlin,3000.0,Bonus,20,EUR,70.74083333333333
2024-02-12,81539,München,3000.0,Bonus,43,EUR,78.69333333333334
2024-02-12,10115,Berlin,4500.0,Bonus,40,EUR,115.13666666666667
2024-02-12,81539,München,4500.0,Bonus,5,EUR,95.61583333333334
2024-02-12,81539,München,4500.0,Bonus,14,EUR,103.69
2024-02-12,10115,Berlin,5000.0,Bonus,24,EUR,119.95166666666667
2024-02-12,10115,Berlin,5000.0,Bonus,49,EUR,130.0075
2024-02-12,81539,München,5000.0,Bonus,11,EUR,114.76666666666667
2024-02-12,81539,München,5000.0,Bonus,13,EUR,115.2475
2024-02-12,81539,München,5000.0,Bonus,23,EUR,116.38666666666667
2024-02-12,10115,Berlin,4250.0,Bonus,15,EUR,99.69166666666666
2024-02-12,10115,Berlin,1500.0,Bonus,10,EUR,38.045833333333334
2024-02-12,10115,Berlin,1500.0,Bonus,25,EUR,40.266666666666666
2024-02-12,10115,Berlin,1500.0,Bonus,28,EUR,40.91583333333333
2024-02-12,81539,München,1500.0,Bonus,8,EUR,37.887499999999996
2024-02-12,81539,München,1500.0,Bonus,34,EUR,42.475833333333334
2024-02-12,10115,Berlin,4000.0,Bonus,2,EUR,84.80333333333333
2024-02-12,10115,Berlin,4000.0,Bonus,22,EUR,94.75666666666666
2024-02-12,81539,München,4000.0,Bonus,45,EUR,102.09583333333335
2024-02-12,10115,Berlin,3500.0,Bonus,48,EUR,92.52583333333332
2024-02-12,81539,München,3500.0,Bonus,4,EUR,73.735
2024-02-12,81539,München,3500.0,Bonus,15,EUR,78.38833333333334
2024-02-12,81539,München,3500.0,Bonus,23,EUR,80.52
2024-02-12,81539,München,3500.0,Bonus,40,EUR,89.27499999999999
2024-02-12,81539,München,3500.0,Bonus,44,EUR,90.63416666666666
2024-02-12,10115,Berlin,2000.0,Bonus,24,EUR,49.0625
2024-02-12,81539,München,3000.0,Bonus,30,EUR,72.215
2024-02-12,81539,München,3000.0,Bonus,45,EUR,78.985
2024-02-12,81539,München,3000.0,Bonus,50,EUR,79.83333333333333
2024-02-12,10115,Berlin,4500.0,Bonus,9,EUR,105.34583333333335
2024-02-12,81539,München,4500.0,Bonus,38,EUR,111.92416666666666
2024-02-12,10115,Berlin,5000.0,Bonus,21,EUR,119.10833333333333
2024-02-12,81539,München,5000.0,Bonus,1,EUR,96.97166666666668
2024-02-12,81539,München,5000.0,Bonus,27,EUR,118.61333333333333
2024-02-12,10115,Berlin,4250.0,Bonus,12,EUR,99.1875
2024-02-12,10115,Berlin,4250.0,Bonus,19,EUR,100.00166666666667
2024-02-12,10115,Berlin,4250.0,Bonus,23,EUR,101.6875
2024-02-12,10115,Berlin,4250.0,Bonus,37,EUR,107.46
2024-02-12,81539,München,4250.0,Bonus,1,EUR,84.09916666666668
2024-02-12,81539,München,4250.0,Bonus,26,EUR,100.735
2024-02-12,81539,München,4250.0,Bonus,31,EUR,102.50833333333333
2024-02-12,81539,München,4250.0,Bonus,37,EUR,105.23583333333333
2024-02-12,81539,München,4250.0,Bonus,43,EUR,107.82249999999999
2024-02-12,10115,Berlin,1500.0,Bonus,15,EUR,38.612500000000004
2024-02-12,10115,Berlin,1500.0,Bonus,23,EUR,39.68416666666666
2024-02-12,81539,München,1500.0,Bonus,4,EUR,37.62166666666666
2024-02-12,81539,München,1500.0,Bonus,16,EUR,38.56
2024-02-12,10115,Berlin,4000.0,Bonus,50,EUR,104.75833333333333
2024-02-12,81539,München,4000.0,Bonus,44,EUR,101.84083333333332
2024-02-12,10115,Berlin,2500.0,Bonus,30,EUR,61.5825
2024-02-12,81539,München,2500.0,Bonus,24,EUR,58.544999999999995
2024-02-12,81539,München,2500.0,Bonus,25,EUR,59.5025
2024-02-12,81539,München,2500.0,Bonus,39,EUR,65.15083333333332
2024-02-12,81539,München,3500.0,Bonus,13,EUR,78.05916666666667
2024-02-12,81539,München,3500.0,Bonus,27,EUR,82.84916666666668
2024-02-12,81539,München,3500.0,Bonus,39,EUR,88.60166666666667
2024-02-12,81539,München,3500.0,Bonus,42,EUR,89.52416666666666
2024-02-12,10115,Berlin,2000.0,Bonus,23,EUR,49.0225
2024-02-12,10115,Berlin,3000.0,Bonus,29,EUR,73.63666666666667
2024-02-12,10115,Berlin,3000.0,Bonus,31,EUR,74.17833333333333
2024-02-12,81539,München,3000.0,Bonus,34,EUR,76.09916666666668
2024-02-12,10115,Berlin,4500.0,Bonus,46,EUR,116.06166666666667
2024-02-12,81539,München,4500.0,Bonus,16,EUR,103.79416666666667
2024-02-12,81539,München,4500.0,Bonus,35,EUR,110.265
2024-02-12,10115,Berlin,5000.0,Bonus,7,EUR,116.37333333333333
2024-02-12,10115,Berlin,5000.0,Bonus,14,EUR,118.335
2024-02-12,10115,Berlin,5000.0,Bonus,40,EUR,127.8925
2024-02-12,81539,München,5000.0,Bonus,6,EUR,109.12083333333334
2024-02-12,81539,München,5000.0,Bonus,12,EUR,114.77916666666665
2024-02-12,10115,Berlin,4250.0,Bonus,46,EUR,110.125
2024-02-12,81539,München,4250.0,Bonus,21,EUR,98.6425
2024-02-12,10115,Berlin,1500.0,Bonus,2,EUR,37.55833333333333
2024-02-12,10115,Berlin,1500.0,Bonus,45,EUR,44.95083333333333
2024-02-12,81539,München,1500.0,Bonus,45,EUR,44.48833333333334
2024-02-12,10115,Berlin,4000.0,Bonus,28,EUR,97.16250000000001
2024-02-12,10115,Berlin,4000.0,Bonus,32,EUR,99.17
2024-02-12,81539,München,4000.0,Bonus,2,EUR,82.54166666666667
2024-02-12,81539,München,4000.0,Bonus,8,EUR,85.8
2024-02-12,10115,Berlin,2500.0,Bonus,6,EUR,56.76333333333333
2024-02-12,10115,Berlin,2500.0,Bonus,12,EUR,56.85833333333333
2024-02-12,10115,Berlin,2500.0,Bonus,17,EUR,58.090833333333336
2024-02-12,81539,München,2500.0,Bonus,31,EUR,61.909166666666664
2024-02-12,10115,Berlin,3500.0,Bonus,6,EUR,75.93416666666667
2024-02-12,10115,Berlin,3500.0,Bonus,47,EUR,91.425
2024-02-12,81539,München,2000.0,Bonus,23,EUR,48.560833333333335
2024-02-12,81539,München,2000.0,Bonus,37,EUR,54.23500000000001
2024-02-12,81539,München,2000.0,Bonus,40,EUR,54.645
2024-02-12,10115,Berlin,3000.0,Bonus,17,EUR,69.24249999999999
2024-02-12,10115,Berlin,3000.0,Bonus,24,EUR,71.69083333333333
2024-02-12,10115,Berlin,3000.0,Bonus,47,EUR,80.14666666666666
2024-02-12,81539,München,3000.0,Bonus,14,EUR,67.91666666666667
2024-02-12,10115,Berlin,4500.0,Bonus,43,EUR,115.7275
2024-02-12,10115,Berlin,4500.0,Bonus,45,EUR,116.02916666666665
2024-02-12,81539,München,4500.0,Bonus,1,EUR,88.39
2024-02-12,81539,München,4500.0,Bonus,7,EUR,98.74583333333334
2024-02-12,10115,Berlin,5000.0,Bonus,18,EUR,118.80333333333334
2024-02-12,10115,Berlin,5000.0,Bonus,35,EUR,126.42750000000001
2024-02-12,10115,Berlin,5000.0,Bonus,39,EUR,127.835
2024-02-12,10115,Berlin,4250.0,Bonus,7,EUR,96.855
2024-02-12,10115,Berlin,4250.0,Bonus,42,EUR,108.95
2024-02-12,10115,Berlin,4250.0,Bonus,50,EUR,110.73916666666666
2024-02-12,81539,München,1500.0,Bonus,7,EUR,37.87916666666667
2024-02-12,81539,München,1500.0,Bonus,47,EUR,44.69916666666666
2024-02-12,81539,München,1500.0,Bonus,48,EUR,44.732499999999995
2024-02-12,10115,Berlin,4000.0,Bonus,8,EUR,92.62083333333334
2024-02-12,10115,Berlin,4000.0,Bonus,21,EUR,94.45583333333333
