report_date,postcode,location_name,annual_consumption_in_kWh,market,ranking,currency,gross_price_per_month
2024-01-29,81539,München,1500.0,Bonus,33,EUR,44.530833333333334
2024-01-29,81539,München,4250.0,Bonus,14,EUR,100.76666666666667
2024-01-29,81539,München,4250.0,Bonus,17,EUR,100.92583333333333
2024-01-29,81539,München,4250.0,Bonus,32,EUR,105.44666666666666
2024-01-29,81539,München,4250.0,Bonus,45,EUR,110.67333333333333
2024-01-29,81539,München,3500.0,Bonus,6,EUR,75.32083333333334
2024-01-29,81539,München,3500.0,Bonus,13,EUR,81.15916666666666
2024-01-29,81539,München,3500.0,Bonus,43,EUR,92.05583333333334
2024-01-29,81539,München,4000.0,Bonus,1,EUR,81.56833333333334
2024-01-29,81539,München,4000.0,Bonus,41,EUR,103.71416666666666
2024-01-29,81539,München,4500.0,Bonus,8,EUR,102.71416666666666
2024-01-29,81539,München,4500.0,Bonus,45,EUR,116.94583333333333
2024-01-29,81539,München,5000.0,Bonus,50,EUR,131.1825
2024-01-29,81539,München,1000.0,Bonus,29,EUR,33.1575
2024-01-29,81539,München,1000.0,Bonus,32,EUR,33.3975
2024-01-29,81539,München,500.0,Bonus,13,EUR,20.986666666666668
2024-01-29,81539,München,1500.0,Bonus,2,EUR,37.225
2024-01-29,81539,München,1500.0,Bonus,9,EUR,38.80416666666667
2024-01-29,81539,München,3000.0,Bonus,40,EUR,79.8975
2024-01-29,81539,München,3000.0,Bonus,43,EUR,80.04916666666666
2024-01-29,81539,München,3500.0,Bonus,3,EUR,74.20833333333333
2024-01-29,81539,München,3500.0,Bonus,10,EUR,78.3875
2024-01-29,81539,München,4000.0,Bonus,6,EUR,87.53916666666667
2024-01-29,81539,München,4000.0,Bonus,14,EUR,94.55
2024-01-29,81539,München,4500.0,Bonus,2,EUR,90.875
2024-01-29,81539,München,4500.0,Bonus,23,EUR,107.6925
2024-01-29,81539,München,4500.0,Bonus,26,EUR,108.90333333333332
2024-01-29,81539,München,5000.0,Bonus,4,EUR,112.44083333333333
2024-01-29,81539,München,5000.0,Bonus,15,EUR,118.52
2024-01-29,81539,München,5000.0,Bonus,30,EUR,124.25333333333333
2024-01-29,81539,München,5000.0,Bonus,42,EUR,128.49583333333334
2024-01-29,81539,München,500.0,Bonus,14,EUR,21.319166666666668
2024-01-29,81539,München,500.0,Bonus,26,EUR,22.645
2024-01-29,81539,München,500.0,Bonus,37,EUR,23.528333333333332
2024-01-29,81539,München,1500.0,Bonus,8,EUR,38.645
2024-01-29,81539,München,4250.0,Bonus,42,EUR,110.29916666666666
2024-01-29,81539,München,3000.0,Bonus,5,EUR,65.64916666666666
2024-01-29,81539,München,3000.0,Bonus,14,EUR,69.65833333333333
2024-01-29,81539,München,3000.0,Bonus,41,EUR,79.90166666666667
2024-01-29,81539,München,3500.0,Bonus,15,EUR,81.77083333333333
2024-01-29,81539,München,4000.0,Bonus,22,EUR,95.19
2024-01-29,81539,München,4000.0,Bonus,40,EUR,103.7075
2024-01-29,81539,München,4000.0,Bonus,49,EUR,105.6075
2024-01-29,81539,München,4500.0,Bonus,17,EUR,106.86916666666667
2024-01-29,81539,München,4500.0,Bonus,22,EUR,107.46416666666666
2024-01-29,81539,München,4500.0,Bonus,27,EUR,109.14
2024-01-29,81539,München,4500.0,Bonus,38,EUR,114.51916666666666
2024-01-29,81539,München,2500.0,Bonus,9,EUR,57.520833333333336
2024-01-29,81539,München,2500.0,Bonus,25,EUR,60.45083333333333
2024-01-29,81539,München,2500.0,Bonus,46,EUR,69.085
