report_date,postcode,location_name,annual_consumption_in_kWh,market,ranking,currency,gross_price_per_month
2024-01-15,10115,Berlin,2000.0,Bonus,29,EUR,54.405833333333334
2024-01-15,81539,München,2000.0,Bonus,29,EUR,56.09916666666667
2024-01-15,10115,Berlin,2500.0,Bonus,10,EUR,60.373333333333335
2024-01-15,10115,Berlin,2500.0,Bonus,33,EUR,67.49249999999999
2024-01-15,81539,München,2500.0,Bonus,5,EUR,59.19833333333333
2024-01-15,81539,München,2500.0,Bonus,27,EUR,63.72333333333333
2024-01-15,81539,München,2500.0,Bonus,39,EUR,69.495
2024-01-15,81539,München,2500.0,Bonus,46,EUR,71.45083333333334
2024-01-15,10115,Berlin,4500.0,Bonus,19,EUR,113.1875
2024-01-15,10115,Berlin,4500.0,Bonus,42,EUR,119.49083333333334
2024-01-15,81539,München,4500.0,Bonus,14,EUR,108.7625
2024-01-15,81539,München,4500.0,Bonus,42,EUR,117.30416666666667
2024-01-15,81539,München,4250.0,Bonus,36,EUR,108.62666666666667
2024-01-15,10115,Berlin,3000.0,Bonus,28,EUR,77.13916666666667
2024-01-15,10115,Berlin,3000.0,Bonus,47,EUR,84.22500000000001
2024-01-15,81539,München,3000.0,Bonus,9,EUR,70.95833333333333
2024-01-15,81539,München,3000.0,Bonus,15,EUR,73.2325
2024-01-15,10115,Berlin,3500.0,Bonus,25,EUR,88.92
2024-01-15,10115,Berlin,3500.0,Bonus,34,EUR,92.325
2024-01-15,81539,München,3500.0,Bonus,1,EUR,72.39166666666667
2024-01-15,10115,Berlin,5000.0,Bonus,40,EUR,131.91166666666666
2024-01-15,81539,München,5000.0,Bonus,5,EUR,118.42666666666666
2024-01-15,81539,München,5000.0,Bonus,18,EUR,122.51583333333333
2024-01-15,81539,München,5000.0,Bonus,21,EUR,124.21083333333333
2024-01-15,10115,Berlin,4000.0,Bonus,9,EUR,95.63333333333333
2024-01-15,81539,München,4000.0,Bonus,45,EUR,106.80083333333333
2024-01-15,10115,Berlin,3000.0,Non-Bonus,40,EUR,89.8
2024-01-15,10115,Berlin,3500.0,Non-Bonus,20,EUR,98.66583333333334
2024-01-15,10115,Berlin,3500.0,Non-Bonus,25,EUR,99.3175
2024-01-15,81539,München,3500.0,Non-Bonus,22,EUR,96.83833333333332
2024-01-15,81539,München,3500.0,Non-Bonus,44,EUR,102.48666666666666
2024-01-15,10115,Berlin,2500.0,Non-Bonus,32,EUR,75.52833333333334
2024-01-15,10115,Berlin,1500.0,Bonus,26,EUR,44.218333333333334
2024-01-15,10115,Berlin,1500.0,Bonus,38,EUR,46.395833333333336
2024-01-15,10115,Berlin,1000.0,Bonus,1,EUR,29.1675
2024-01-15,10115,Berlin,1000.0,Bonus,19,EUR,32.28333333333333
2024-01-15,81539,München,1000.0,Bonus,4,EUR,29.660833333333333
2024-01-15,81539,München,1000.0,Bonus,44,EUR,35.1275
2024-01-15,10115,Berlin,2000.0,Non-Bonus,14,EUR,59.92333333333334
2024-01-15,10115,Berlin,2000.0,Non-Bonus,15,EUR,59.958333333333336
2024-01-15,10115,Berlin,2000.0,Non-Bonus,45,EUR,63.645833333333336
2024-01-15,81539,München,2000.0,Non-Bonus,23,EUR,60.31666666666666
2024-01-15,81539,München,2000.0,Non-Bonus,29,EUR,60.780833333333334
2024-01-15,10115,Berlin,4500.0,Non-Bonus,21,EUR,124.5
2024-01-15,10115,Berlin,1000.0,Non-Bonus,43,EUR,37.11666666666667
2024-01-15,10115,Berlin,1000.0,Non-Bonus,50,EUR,38.291666666666664
2024-01-15,81539,München,1000.0,Non-Bonus,38,EUR,36.833333333333336
2024-01-15,10115,Berlin,1500.0,Non-Bonus,4,EUR,44.495000000000005
2024-01-15,81539,München,1500.0,Non-Bonus,42,EUR,49.98
