report_date,postcode,location_name,annual_consumption_in_kWh,market,ranking,currency,gross_price_per_month
2024-02-05,10115,Berlin,5000.0,Bonus,16,EUR,119.10833333333333
2024-02-05,10115,Berlin,5000.0,Bonus,17,EUR,119.10916666666667
2024-02-05,81539,München,5000.0,Bonus,25,EUR,118.70416666666667
2024-02-05,10115,Berlin,1500.0,Bonus,16,EUR,38.708333333333336
2024-02-05,10115,Berlin,1500.0,Bonus,17,EUR,38.7575
2024-02-05,81539,München,1500.0,Bonus,38,EUR,43.96333333333333
2024-02-05,10115,Berlin,2500.0,Bonus,26,EUR,61.34583333333333
2024-02-05,10115,Berlin,2500.0,Bonus,33,EUR,63.43083333333333
2024-02-05,10115,Berlin,2500.0,Bonus,47,EUR,69.37166666666667
2024-02-05,81539,München,2000.0,Bonus,2,EUR,45.29833333333334
2024-02-05,81539,München,2000.0,Bonus,7,EUR,46.775
2024-02-05,81539,München,2000.0,Bonus,21,EUR,48.524166666666666
2024-02-05,81539,München,2000.0,Bonus,39,EUR,56.0925
2024-02-05,81539,München,2000.0,Bonus,41,EUR,56.40416666666667
2024-02-05,10115,Berlin,3500.0,Bonus,12,EUR,77.97916666666667
2024-02-05,10115,Berlin,3500.0,Bonus,19,EUR,81.69166666666666
2024-02-05,10115,Berlin,3500.0,Bonus,40,EUR,91.06
2024-02-05,81539,München,3500.0,Bonus,36,EUR,89.05833333333334
2024-02-05,10115,Berlin,3000.0,Bonus,42,EUR,80.44416666666667
2024-02-05,81539,München,3000.0,Bonus,6,EUR,65.69166666666666
2024-02-05,81539,München,4250.0,Bonus,2,EUR,86.70833333333333
2024-02-05,81539,München,4500.0,Bonus,11,EUR,104.82666666666667
2024-02-05,81539,München,4500.0,Bonus,32,EUR,110.22583333333334
2024-02-05,10115,Berlin,5000.0,Bonus,19,EUR,120.49333333333334
2024-02-05,10115,Berlin,5000.0,Bonus,29,EUR,124.60333333333334
2024-02-05,10115,Berlin,5000.0,Bonus,43,EUR,130.43666666666667
2024-02-05,81539,München,5000.0,Bonus,18,EUR,117.77583333333332
2024-02-05,81539,München,5000.0,Bonus,19,EUR,117.9325
2024-02-05,10115,Berlin,1500.0,Bonus,5,EUR,38.02583333333333
2024-02-05,10115,Berlin,1500.0,Bonus,8,EUR,38.04083333333333
2024-02-05,81539,München,1500.0,Bonus,26,EUR,40.875
2024-02-05,81539,München,1500.0,Bonus,39,EUR,44.278333333333336
2024-02-05,81539,München,1500.0,Bonus,49,EUR,46.083333333333336
2024-02-05,81539,München,2500.0,Bonus,21,EUR,58.544999999999995
2024-02-05,10115,Berlin,2000.0,Bonus,32,EUR,52.125
2024-02-05,10115,Berlin,2000.0,Bonus,50,EUR,57.775
2024-02-05,81539,München,2000.0,Bonus,30,EUR,52.15416666666667
2024-02-05,10115,Berlin,3500.0,Bonus,5,EUR,75.52833333333334
2024-02-05,10115,Berlin,3500.0,Bonus,26,EUR,84.91083333333333
2024-02-05,81539,München,3500.0,Bonus,11,EUR,78.25750000000001
2024-02-05,81539,München,3500.0,Bonus,22,EUR,81.15916666666666
2024-02-05,81539,München,3500.0,Bonus,29,EUR,85.3875
2024-02-05,81539,München,3000.0,Bonus,2,EUR,64.14
2024-02-05,81539,München,3000.0,Bonus,9,EUR,68.15833333333333
2024-02-05,81539,München,3000.0,Bonus,21,EUR,69.81833333333334
2024-02-05,10115,Berlin,4250.0,Bonus,20,EUR,101.70416666666667
2024-02-05,10115,Berlin,4250.0,Bonus,33,EUR,107.71499999999999
2024-02-05,10115,Berlin,4500.0,Bonus,46,EUR,118.09500000000001
2024-02-05,81539,München,4500.0,Bonus,10,EUR,104.82583333333334
2024-02-05,10115,Berlin,5000.0,Bonus,30,EUR,124.84166666666665
2024-02-05,10115,Berlin,4000.0,Bonus,19,EUR,94.42333333333333
2024-02-05,10115,Berlin,4000.0,Bonus,38,EUR,102.35916666666667
2024-02-05,10115,Berlin,4000.0,Bonus,41,EUR,102.7375
2024-02-05,81539,München,4000.0,Bonus,37,EUR,101.39083333333333
2024-02-05,10115,Berlin,1500.0,Bonus,21,EUR,39.4575
2024-02-05,10115,Berlin,1500.0,Bonus,22,EUR,40.00333333333334
2024-02-05,10115,Berlin,1500.0,Bonus,38,EUR,44.369166666666665
2024-02-05,81539,München,1500.0,Bonus,2,EUR,37.130833333333335
2024-02-05,81539,München,1500.0,Bonus,13,EUR,38.61083333333333
2024-02-05,81539,München,1500.0,Bonus,27,EUR,40.97833333333333
2024-02-05,81539,München,1500.0,Bonus,36,EUR,43.88999999999999
2024-02-05,81539,München,1500.0,Bonus,47,EUR,45.5075
2024-02-05,10115,Berlin,2500.0,Bonus,37,EUR,65.24916666666667
2024-02-05,10115,Berlin,2000.0,Bonus,2,EUR,45.9275
2024-02-05,10115,Berlin,2000.0,Bonus,5,EUR,47.405833333333334
2024-02-05,10115,Berlin,2000.0,Bonus,12,EUR,47.85
2024-02-05,10115,Berlin,2000.0,Bonus,35,EUR,53.182500000000005
2024-02-05,81539,München,2000.0,Bonus,43,EUR,56.77
2024-02-05,10115,Berlin,3500.0,Bonus,7,EUR,77.03583333333333
2024-02-05,10115,Berlin,3000.0,Bonus,6,EUR,66.34333333333333
2024-02-05,10115,Berlin,3000.0,Bonus,35,EUR,77.13333333333334
2024-02-05,81539,München,3000.0,Bonus,12,EUR,68.23333333333333
2024-02-05,10115,Berlin,4250.0,Bonus,37,EUR,108.95
2024-02-05,81539,München,4250.0,Bonus,11,EUR,97.97166666666668
2024-02-05,81539,München,4250.0,Bonus,29,EUR,102.50833333333333
2024-02-05,81539,München,4500.0,Bonus,38,EUR,115.03666666666668
2024-02-05,81539,München,4500.0,Bonus,47,EUR,116.94583333333333
2024-02-05,81539,München,5000.0,Bonus,43,EUR,128.61916666666667
2024-02-05,10115,Berlin,4000.0,Bonus,27,EUR,98.38333333333333
2024-02-05,81539,München,4000.0,Bonus,1,EUR,76.80833333333334
2024-02-05,81539,München,1500.0,Bonus,42,EUR,44.69916666666666
2024-02-05,81539,München,2500.0,Bonus,32,EUR,63.94
2024-02-05,81539,München,2500.0,Bonus,46,EUR,68.7225
2024-02-05,81539,München,2000.0,Bonus,8,EUR,46.9125
